SÕNAVORMID,MIN 1 SAGEDUS FOOKUSKORPUSES,,,,,,,,,,,,,,,,,,,
taevais,7654.235466,0,8.10E-06,0,,tagatoa,inf,8.10E-06,0,,majanduslikult,19.21108583,1.17E-05,8.91E-05,1.65E-05,,ettenähtav,10.82903265,16.20102228,0.588417252
dnestri-äärse,7654.235466,0,8.10E-06,0,,maalipannoo,inf,8.10E-06,0,,viljandi,19.18864838,1.18E-05,1.62E-05,0.000127328,,pragmatism,10.81462187,16.20102228,0.590533861
koormavama,7654.235466,0,8.10E-06,0,,üüratult,inf,8.10E-06,0,,ärakuulamine,19.16575085,1.20E-05,4.05E-05,2.32E-06,,ühiskonnakord,10.81462187,16.20102228,0.590533861
pildidiskursus,7654.235466,0,8.10E-06,0,,tagalane,inf,8.10E-06,0,,seade,19.165408,1.20E-05,5.67E-05,0.000208046,,maksuvabastus,10.81254008,40.50255571,2.838372428
koolitoru,7654.235466,0,8.10E-06,0,,ütlemis,inf,8.10E-06,0,,piiksatama,19.15196644,1.21E-05,2.43E-05,3.71E-07,,salaprotokoll,10.80743086,16.20102228,0.591592165
messerschm,7654.235466,0,8.10E-06,0,,maalikunstiteooria,inf,8.10E-06,0,,korter,19.14146318,1.21E-05,5.67E-05,0.000207912,,põhitöökoht,10.8002494,16.20102228,0.59265047
ebol,7654.235466,0,8.10E-06,0,,taskusolev,inf,8.10E-06,0,,fsb,19.08790123,1.25E-05,4.86E-05,3.95E-06,,sõltuvushäire,10.8002494,16.20102228,0.59265047
säima,7654.235466,0,8.10E-06,0,,diktaad,inf,8.10E-06,0,,käsima,19.07293431,1.26E-05,1.62E-05,4.97E-08,,seinamaal,10.78591508,16.20102228,0.594767079
merevõimek,7654.235466,0,8.10E-06,0,,majanduskitsik,inf,8.10E-06,0,,pakkumine,19.06605569,1.26E-05,5.67E-05,0.000207492,,paranoiline,10.77597952,32.40204457,2.09967595
merioktoober,7654.235466,0,8.10E-06,0,,majanduslang,inf,8.10E-06,0,,nähtud,19.05226527,1.27E-05,2.43E-05,3.78E-07,,majanduspoliitika,10.77580047,56.703578,4.354922648
huviharidusvaldkond,7654.235466,0,8.10E-06,0,,põhialune,inf,1.62E-05,0,,weiss,19.01091532,1.30E-05,3.24E-05,1.15E-06,,jõuluaegne,10.7644848,16.20102228,0.597941992
pildikäsitlus,7654.235466,0,8.10E-06,0,,võltsassotsiatsioon,inf,8.10E-06,0,,väiksus,18.90653876,1.37E-05,4.86E-05,4.02E-06,,haridusametnik,10.7644848,16.20102228,0.597941992
pildipooldaja,7654.235466,0,8.10E-06,0,,ettetootmine,inf,1.62E-05,0,,kaugusel,18.88850701,1.39E-05,2.43E-05,0.000144061,,varro,10.75029526,40.50255571,2.860596821
taipamatum,7654.235466,0,8.10E-06,0,,imax-tehnoloogia,inf,8.10E-06,0,,metsiku,18.83118661,1.43E-05,1.62E-05,5.29E-08,,spektrum,10.7502452,16.20102228,0.600058601
mõtelgema,7654.235466,0,8.10E-06,0,,labürinditeadlane,inf,8.10E-06,0,,balti,18.82867422,1.43E-05,0.000210613,7.82E-05,,vastuvõtukatse,10.73604321,16.20102228,0.602175209
juhilub,7654.235466,0,8.10E-06,0,,linnadest-vald,inf,8.10E-06,0,,kogus,18.82857238,1.43E-05,2.43E-05,0.000143769,,plenaaristung,10.73604321,16.20102228,0.602175209
pildivihkaja,7654.235466,0,8.10E-06,0,,linnaekskursioonibuss,inf,8.10E-06,0,,mees,18.82764222,1.43E-05,0.000753348,0.001144969,,tavakodanik,10.72815531,48.60306685,3.623634301
dollaridieet,7654.235466,0,8.10E-06,0,,sularahaautomaa,inf,1.62E-05,0,,tüdruk,18.81804364,1.44E-05,4.86E-05,0.000191463,,reservväelane,10.71379439,32.40204457,2.117667125
häbema,7654.235466,0,8.10E-06,0,,võlglasi,inf,8.10E-06,0,,foucau,18.75376577,1.49E-05,1.62E-05,5.40E-08,,kaitsekulutus,10.70334956,40.50255571,2.877529692
taltumatu,7654.235466,0,8.10E-06,0,,koodma,inf,1.62E-05,0,,kibedalt,18.74737635,1.49E-05,2.43E-05,3.98E-07,,buliimia,10.70070189,16.20102228,0.607466732
tallinna-helsingi,7654.235466,0,8.10E-06,0,,imaginaarselt,inf,8.10E-06,0,,kõrgus,18.73023748,1.51E-05,8.10E-06,0.000104699,,tembeldamine,10.69366152,16.20102228,0.608525036
juhike,7654.235466,0,8.10E-06,0,,mistahesk,inf,1.62E-05,0,,maitse,18.68036257,1.55E-05,2.43E-05,0.000143046,,eritoetus,10.67960855,16.20102228,0.610641645
distsiplineerivamama,7654.235466,0,8.10E-06,0,,ilmetud,inf,8.10E-06,0,,iganenud,18.67782505,1.55E-05,1.62E-05,5.50E-08,,sõnateater,10.67960855,16.20102228,0.610641645
konverteeritud,7654.235466,0,8.10E-06,0,,võrratud,inf,8.10E-06,0,,toit,18.67475108,1.55E-05,0.000113407,0.000298993,,kapitalistlik,10.67197298,48.60306685,3.647975302
juhatanud,7654.235466,0,8.10E-06,0,,loteriimoment,inf,8.10E-06,0,,jõhkrus,18.63610836,1.58E-05,3.24E-05,1.20E-06,,valijaskond,10.66311946,32.40204457,2.132483387
diy-hoiak,7654.235466,0,8.10E-06,0,,ikoonobjekt,inf,8.10E-06,0,,ütlema,18.59252422,1.62E-05,0.001360886,0.00186518,,valitu,10.65391693,40.50255571,2.895520867
poolsosinal,7654.235466,0,8.10E-06,0,,ilguma,inf,8.10E-06,0,,koalitsioon,18.5890177,1.62E-05,0.000121508,3.11E-05,,naftaturg,10.65161313,16.20102228,0.614874862
mitmeööpäevane,7654.235466,0,8.10E-06,0,,lootskala,inf,8.10E-06,0,,ravijärjekord,18.55532673,1.65E-05,3.24E-05,1.21E-06,,solvamine,10.65014845,48.60306685,3.657500042
koristatud,7654.235466,0,8.10E-06,0,,loosunge,inf,8.10E-06,0,,rahastamissüsteem,18.5476275,1.66E-05,2.43E-05,4.12E-07,,euroopalik,10.64056206,72.90460028,5.945554177
metsasa,7654.235466,0,8.10E-06,0,,huilama,inf,1.62E-05,0,,legatum,18.53016557,1.67E-05,1.62E-05,5.71E-08,,majandusprobleem,10.63767038,16.20102228,0.616991471
paranoiadiagnoos,7654.235466,0,8.10E-06,0,,võltstugijaam,inf,8.10E-06,0,,investeerimispakett,18.53016557,1.67E-05,1.62E-05,5.71E-08,,toetuv,10.63657896,40.50255571,2.901870693
ring-klubid,7654.235466,0,8.10E-06,0,,propagandavesk,inf,1.62E-05,0,,nautima,18.52091427,1.68E-05,4.05E-05,0.000174735,,status,10.63549626,24.30153343,1.378970647
seksuaaltava,7654.235466,0,8.10E-06,0,,päkapikukart,inf,1.62E-05,0,,valimisloosung,18.4725966,1.72E-05,2.43E-05,4.17E-07,,demoniseerima,10.62376409,16.20102228,0.61910808
spar-kioski,7654.235466,0,8.10E-06,0,,sponsorl,inf,8.10E-06,0,,vale,18.45952204,1.74E-05,0.000291618,0.000129363,,tegevusvabadus,10.60989411,16.20102228,0.621224689
sovetivaim,7654.235466,0,8.10E-06,0,,lääneski,inf,8.10E-06,0,,parteistumine,18.45834502,1.74E-05,1.62E-05,5.82E-08,,asendustegevus,10.59308449,24.30153343,1.388495386
sovetlus,7654.235466,0,8.10E-06,0,,konspiratsiooniteemaline,inf,1.62E-05,0,,paigalseis,18.45557261,1.74E-05,3.24E-05,1.23E-06,,majandusseis,10.58915692,16.20102228,0.624399602
spaade,7654.235466,0,8.10E-06,0,,ideoloogia-ametnik,inf,8.10E-06,0,,käima,18.45242166,1.74E-05,0.000745247,0.001130608,,sotsiaaleluruum,10.58226252,16.20102228,0.625457906
spar-kassa,7654.235466,0,8.10E-06,0,,läänemer,inf,8.10E-06,0,,lõputunnistus,18.42806087,1.76E-05,4.05E-05,2.51E-06,,sobtšak,10.5753771,16.20102228,0.626516211
sotš,7654.235466,0,8.10E-06,0,,võlulahendus,inf,8.10E-06,0,,e-riik,18.42420423,1.77E-05,5.67E-05,6.24E-06,,internetiajastu,10.50022459,16.20102228,0.638157559
spermas,7654.235466,0,8.10E-06,0,,livideerima,inf,8.10E-06,0,,laenuvõtja,18.41984345,1.77E-05,4.86E-05,4.20E-06,,rowan,10.49344547,16.20102228,0.639215864
spestialist,7654.235466,0,8.10E-06,0,,putinland,inf,1.62E-05,0,,erimeelsus,18.41951605,1.77E-05,6.48E-05,8.61E-06,,kiriku,10.4866751,16.20102228,0.640274168
sotšivenemaa,7654.235466,0,8.10E-06,0,,lisatud,inf,8.10E-06,0,,kuupäev,18.4119769,1.78E-05,8.10E-06,0.000103301,,retoorika,10.47907259,89.10562256,7.598625666
sottama,7654.235466,0,8.10E-06,0,,loen-ja-kirjutan,inf,8.10E-06,0,,kott,18.40306794,1.79E-05,8.10E-06,0.000103262,,lastekaitseseadus,10.47316054,16.20102228,0.642390777
peaama,7654.235466,0,8.10E-06,0,,kontrane,inf,1.62E-05,0,,nsvl,18.4007751,1.79E-05,6.48E-05,8.62E-06,,rohe,10.44955352,24.30153343,1.421302823
patine,7654.235466,0,8.10E-06,0,,loiuks,inf,8.10E-06,0,,tööjõumaks,18.39501485,1.80E-05,4.86E-05,4.21E-06,,küüniline,10.44136424,48.60306685,3.75063083
parteit,7654.235466,0,8.10E-06,0,,staar-kirjanik,inf,8.10E-06,0,,halduskulu,18.39254944,1.80E-05,4.05E-05,2.52E-06,,palgatoetus,10.42364977,32.40204457,2.204448087
jagatud,7654.235466,0,8.10E-06,0,,ss-pagun,inf,8.10E-06,0,,nädalavahetus,18.36139615,1.83E-05,1.62E-05,0.00012348,,akumuleerima,10.4127736,16.20102228,0.651915517
metsatööstusfirma,7654.235466,0,8.10E-06,0,,loimama,inf,8.10E-06,0,,põhja-korea,18.33709395,1.85E-05,9.72E-05,2.06E-05,,mõjupiirkond,10.4061069,16.20102228,0.652973821
ss-pagun,7654.235466,0,8.10E-06,0,,ilmikliikmedi,inf,8.10E-06,0,,kagebiit,18.31848788,1.87E-05,1.62E-05,6.03E-08,,eestiaegne,10.40407931,24.30153343,1.431885867
parteitud,7654.235466,0,8.10E-06,0,,pälvinud,inf,1.62E-05,0,,kõrgkvalifitseeritud,18.31848788,1.87E-05,1.62E-05,6.03E-08,,kodakondsus,10.37308479,243.0153343,22.52389276
staar-kirjanik,7654.235466,0,8.10E-06,0,,ajatold,inf,8.10E-06,0,,konto,18.30195942,1.89E-05,8.10E-06,0.000102817,,mahukus,10.37290103,16.20102228,0.658265343
partisane,7654.235466,0,8.10E-06,0,,võri,inf,8.10E-06,0,,soolestik,18.28893905,1.90E-05,6.48E-05,8.69E-06,,rannakaitse,10.37290103,16.20102228,0.658265343
sponsorl,7654.235466,0,8.10E-06,0,,ristikheinalehtne,inf,8.10E-06,0,,ilmselt,18.28873905,1.90E-05,0.000607538,0.000354726,,eelarvekava,10.32021019,16.20102228,0.666731778
eesli,7654.235466,0,8.10E-06,0,,seksuaaltava,inf,8.10E-06,0,,legitiimsus,18.27908987,1.91E-05,4.05E-05,2.55E-06,,linnaplaan,10.32021019,16.20102228,0.666731778
soomustatud,7654.235466,0,8.10E-06,0,,makroprobleem,inf,8.10E-06,0,,üksikisik,18.27611473,1.91E-05,8.91E-05,1.73E-05,,hodorkovski,10.31366145,16.20102228,0.667790083
jahikire,7654.235466,0,8.10E-06,0,,ring-klubid,inf,8.10E-06,0,,üürisektor,18.25036476,1.94E-05,1.62E-05,6.14E-08,,teehooldaja,10.30058887,16.20102228,0.669906692
kummastuma,7654.235466,0,8.10E-06,0,,aastatäis,inf,8.10E-06,0,,growtopia,18.25036476,1.94E-05,1.62E-05,6.14E-08,,rkas,10.29318502,40.50255571,3.032042136
ruutmeetrikulu,7654.235466,0,8.10E-06,0,,rõhkuma,inf,1.62E-05,0,,tank,18.24590037,1.94E-05,8.91E-05,1.74E-05,,üürikorter,10.27272358,72.90460028,6.194255714
kumme,7654.235466,0,8.10E-06,0,,räntama,inf,1.62E-05,0,,võitja,18.23432585,1.95E-05,1.62E-05,0.000122887,,taasloomine,10.25678278,24.30153343,1.466809913
park-dõuuuge,7654.235466,0,8.10E-06,0,,makstama,inf,8.10E-06,0,,impeerium,18.22064893,1.97E-05,8.10E-05,1.43E-05,,pilama,10.24862827,16.20102228,0.678373127
rugu,7654.235466,0,8.10E-06,0,,pahal,inf,1.62E-05,0,,tarku,18.18339123,2.01E-05,1.62E-05,6.24E-08,,eitamine,10.2447833,40.50255571,3.051091615
mikroobivalalt,7654.235466,0,8.10E-06,0,,ületõlgendatud,inf,8.10E-06,0,,tahe,18.18233572,2.01E-05,0.000170111,5.66E-05,,nurin,10.23105145,32.40204457,2.264771438
itee,7654.235466,0,8.10E-06,0,,ületsiviliseeritud,inf,8.10E-06,0,,ida,18.17387876,2.02E-05,0.000145809,4.37E-05,,relatiivne,10.22284407,16.20102228,0.682606345
mikroobivalt,7654.235466,0,8.10E-06,0,,maksueerinevus,inf,8.10E-06,0,,jõulud,18.160866,2.03E-05,0.00015391,4.79E-05,,mahajäämus,10.18811807,32.40204457,2.278529395
rublalaristamine,7654.235466,0,8.10E-06,0,,kirjapand,inf,1.62E-05,0,,mannu,18.13245219,2.06E-05,3.24E-05,1.28E-06,,kahtlevalt,10.1844101,16.20102228,0.688956171
parlamendirutiin,7654.235466,0,8.10E-06,0,,küünelakkimine,inf,8.10E-06,0,,rahvuskonservatism,18.11752928,2.08E-05,1.62E-05,6.35E-08,,kollektiivkaitse,10.17166292,16.20102228,0.69107278
paroodiavorm,7654.235466,0,8.10E-06,0,,hõbi,inf,8.10E-06,0,,kultuuriline,18.0775512,2.12E-05,0.000105307,2.44E-05,,uuendusmeelsus,10.16530128,16.20102228,0.692131084
rootsu,7654.235466,0,8.10E-06,0,,intriik,inf,8.10E-06,0,,randvere,18.05274274,2.15E-05,1.62E-05,6.46E-08,,kalifaat,10.14363607,24.30153343,1.494325827
empiritsism,7654.235466,0,8.10E-06,0,,maiustustelaua,inf,8.10E-06,0,,registreeritud,18.05274274,2.15E-05,1.62E-05,6.46E-08,,päevauudis,10.13993413,16.20102228,0.696364302
rikkuselubadus,7654.235466,0,8.10E-06,0,,üldteata,inf,8.10E-06,0,,sõjalennuk,18.04511704,2.16E-05,4.05E-05,2.61E-06,,harali,10.08957776,16.20102228,0.704830737
midagigi,7654.235466,0,8.10E-06,0,,tahes-tahtma,inf,1.62E-05,0,,hetk,18.02120726,2.18E-05,0.000413126,0.000709611,,varasuvi,10.05835822,16.20102228,0.710122259
energiamängus,7654.235466,0,8.10E-06,0,,tembeldatud,inf,1.62E-05,0,,kaitsevägi,18.0207027,2.19E-05,0.000129608,3.58E-05,,malaysia,10.05835822,16.20102228,0.710122259
huntingtoonlane,7654.235466,0,8.10E-06,0,,spar-kioski,inf,8.10E-06,0,,noorpoliitik,18.00037688,2.21E-05,2.43E-05,4.52E-07,,küüniliselt,10.05213748,16.20102228,0.711180564
gibson-graham,7654.235466,0,8.10E-06,0,,seadustatud,inf,1.62E-05,0,,likk,17.98899719,2.22E-05,1.62E-05,6.56E-08,,alko,10.04337498,56.703578,4.745436976
rikketuvastussüsteem,7654.235466,0,8.10E-06,0,,sovetivaim,inf,8.10E-06,0,,astroloogia,17.9323023,2.29E-05,4.05E-05,2.64E-06,,fsb,10.02164749,48.60306685,3.949592059
riism,7654.235466,0,8.10E-06,0,,sottama,inf,8.10E-06,0,,küpsenud,17.92625983,2.30E-05,1.62E-05,6.67E-08,,mänguruum,10.01992833,32.40204457,2.333561225
riigivõimekus,7654.235466,0,8.10E-06,0,,võrdõiguselikkus,inf,8.10E-06,0,,kaitsekulu,17.90213363,2.33E-05,3.24E-05,1.32E-06,,valimissedel,9.959741288,16.20102228,0.72705513
riigistatud,7654.235466,0,8.10E-06,0,,pakas,inf,1.62E-05,0,,eestlaned-venelane,17.88629013,2.35E-05,8.10E-06,0,,kriisikolle,9.941465502,16.20102228,0.730230043
riigirumm,7654.235466,0,8.10E-06,0,,tipptehnoloogiafirma,inf,1.62E-05,0,,sookvoodi,17.88629013,2.35E-05,8.10E-06,0,,piiririik,9.935388469,16.20102228,0.731288348
gigantomaanne,7654.235466,0,8.10E-06,0,,sotšivenemaa,inf,8.10E-06,0,,alandatud,17.88629013,2.35E-05,8.10E-06,0,,pealetungiv,9.929318861,16.20102228,0.732346652
ristikheinalehtne,7654.235466,0,8.10E-06,0,,spestialist,inf,8.10E-06,0,,hallanud,17.88629013,2.35E-05,8.10E-06,0,,rus,9.920551711,24.30153343,1.550415961
hingetõmben,7654.235466,0,8.10E-06,0,,ikonoduul,inf,8.10E-06,0,,misso-tallinn-helsingi-rovaniem,17.88629013,2.35E-05,8.10E-06,0,,propageerija,9.916436849,24.30153343,1.551474266
kuningamänt,7654.235466,0,8.10E-06,0,,lubatavam,inf,8.10E-06,0,,väisanud,17.88629013,2.35E-05,8.10E-06,0,,kallaletung,9.912928511,32.40204457,2.369543575
metsarohkem,7654.235466,0,8.10E-06,0,,spermas,inf,8.10E-06,0,,soolestikuelustik,17.88629013,2.35E-05,8.10E-06,0,,rangemalt,9.905114407,16.20102228,0.73657987
soome-põhine,7654.235466,0,8.10E-06,0,,sotš,inf,8.10E-06,0,,alanenud,17.88629013,2.35E-05,8.10E-06,0,,ekk,9.905114407,16.20102228,0.73657987
jagamisalu,7654.235466,0,8.10E-06,0,,töötajate-ülalpeetav,inf,8.10E-06,0,,missour,17.88629013,2.35E-05,8.10E-06,0,,väiksus,9.890532438,48.60306685,4.015206933
hurraapatriotism,7654.235466,0,8.10E-06,0,,eurosend,inf,1.62E-05,0,,kultuuripime,17.88629013,2.35E-05,8.10E-06,0,,luuraja,9.88808336,32.40204457,2.37801001
kuhjunud,7654.235466,0,8.10E-06,0,,spar-kassa,inf,8.10E-06,0,,sookvoode,17.88629013,2.35E-05,8.10E-06,0,,taluvuspiir,9.87502428,16.20102228,0.741871392
granditud,7654.235466,0,8.10E-06,0,,spaade,inf,8.10E-06,0,,soolg,17.88629013,2.35E-05,8.10E-06,0,,friedman,9.869028179,16.20102228,0.742929696
grammyusa,7654.235466,0,8.10E-06,0,,toasooja,inf,1.62E-05,0,,vandenõužanr,17.88629013,2.35E-05,8.10E-06,0,,võrgustumine,9.857057796,16.20102228,0.745046305
mitme-setmen,7654.235466,0,8.10E-06,0,,sovetlus,inf,8.10E-06,0,,sundne,17.88629013,2.35E-05,8.10E-06,0,,vedelgaas,9.851083488,16.20102228,0.746104609
sundne,7654.235466,0,8.10E-06,0,,koloniaalmajandus,inf,1.62E-05,0,,juureldema,17.88629013,2.35E-05,8.10E-06,0,,jamps,9.847002815,24.30153343,1.56946544
panganduspoliitika,7654.235466,0,8.10E-06,0,,tarbimisjutt,inf,8.10E-06,0,,soovitav-saavutatav,17.88629013,2.35E-05,8.10E-06,0,,janukovõtš,9.83915657,16.20102228,0.748221218
koristustalk,7654.235466,0,8.10E-06,0,,ida-slavoonia,inf,8.10E-06,0,,staarikeste-hääletamine,17.88629013,2.35E-05,8.10E-06,0,,ampluaa,9.818694137,24.30153343,1.576873571
superluuraja,7654.235466,0,8.10E-06,0,,igapäevainimene,inf,8.10E-06,0,,staatuseküsimus,17.88629013,2.35E-05,8.10E-06,0,,vasakäärmuslane,9.803548473,16.20102228,0.754571045
superremont,7654.235466,0,8.10E-06,0,,elamukvart,inf,8.10E-06,0,,kogukonnahooldus,17.88629013,2.35E-05,8.10E-06,0,,vähemusgrupp,9.797638832,16.20102228,0.755629349
sulline,7654.235466,0,8.10E-06,0,,it-mehi,inf,8.10E-06,0,,anekdoodimaiguline,17.88629013,2.35E-05,8.10E-06,0,,arengufond,9.796012907,32.40204457,2.409759142
jobbiku,7654.235466,0,8.10E-06,0,,seent,inf,8.10E-06,0,,seksuaalvähemuslus-alane,17.88629013,2.35E-05,8.10E-06,0,,nälgiv,9.791736312,16.20102228,0.756687653
sula-aasta,7654.235466,0,8.10E-06,0,,seepeal,inf,8.10E-06,0,,superluuraja,17.88629013,2.35E-05,8.10E-06,0,,võimur,9.791736312,16.20102228,0.756687653
suletõme,7654.235466,0,8.10E-06,0,,sealjure,inf,8.10E-06,0,,mistrale,17.88629013,2.35E-05,8.10E-06,0,,ehlvest,9.785840899,16.20102228,0.757745958
edevavõitu,7654.235466,0,8.10E-06,0,,seadusmasin,inf,8.10E-06,0,,kommet,17.88629013,2.35E-05,8.10E-06,0,,lumepall,9.774775976,32.40204457,2.417167273
edasikandunud,7654.235466,0,8.10E-06,0,,irlitar,inf,8.10E-06,0,,superremont,17.88629013,2.35E-05,8.10E-06,0,,võrsunud,9.758577419,24.30153343,1.592748138
jeltsinlik,7654.235466,0,8.10E-06,0,,laenuteenindamisevism,inf,8.10E-06,0,,sulline,17.88629013,2.35E-05,8.10E-06,0,,autoritaarsus,9.756470002,16.20102228,0.76303748
palgatõusuprotsent,7654.235466,0,8.10E-06,0,,investeeringuvaldkond,inf,8.10E-06,0,,konspiratsiooniteooriate-huviline,17.88629013,2.35E-05,8.10E-06,0,,singapur,9.747779549,105.3066448,9.90572928
suunine,7654.235466,0,8.10E-06,0,,lagerai,inf,8.10E-06,0,,kommertslavastus,17.88629013,2.35E-05,8.10E-06,0,,korrakaitseseadus,9.698253968,16.20102228,0.773620524
milošev,7654.235466,0,8.10E-06,0,,tarbemenuk,inf,8.10E-06,0,,konspiratsiooniteema,17.88629013,2.35E-05,8.10E-06,0,,kommipaber,9.686694031,16.20102228,0.775737133
palgavisioon,7654.235466,0,8.10E-06,0,,seetima,inf,8.10E-06,0,,konspiratsiooniskeem,17.88629013,2.35E-05,8.10E-06,0,,demagoogiline,9.686694031,16.20102228,0.775737133
ježiit,7654.235466,0,8.10E-06,0,,ekvivalend,inf,8.10E-06,0,,koguformaat,17.88629013,2.35E-05,8.10E-06,0,,äärmuslane,9.676037003,40.50255571,3.289210107
korrespondentsaadik,7654.235466,0,8.10E-06,0,,seitsme-kaheksalapseline,inf,8.10E-06,0,,viljeldud,17.88629013,2.35E-05,8.10E-06,0,,tolerants,9.675886726,32.40204457,2.452091319
surmatorn,7654.235466,0,8.10E-06,0,,lasteaipetaja,inf,8.10E-06,0,,eesrindlikkus,17.88629013,2.35E-05,8.10E-06,0,,sotsiaaldemokraatia,9.669405704,16.20102228,0.778912046
suitsupriiks,7654.235466,0,8.10E-06,0,,küpsetusfoolium,inf,8.10E-06,0,,sotsiaal-fiskaalne,17.88629013,2.35E-05,8.10E-06,0,,e-valitsus,9.669405704,16.20102228,0.778912046
staažika,7654.235466,0,8.10E-06,0,,segarahvuslikult,inf,8.10E-06,0,,mitme-setmen,17.88629013,2.35E-05,8.10E-06,0,,vabaduspartei,9.669405704,16.20102228,0.778912046
eelkogemus,7654.235466,0,8.10E-06,0,,elatisab,inf,8.10E-06,0,,juurdegi,17.88629013,2.35E-05,8.10E-06,0,,pronksiöö,9.667814921,24.30153343,1.617089139
seksuaalvähemuslus-alane,7654.235466,0,8.10E-06,0,,segadusseviimine,inf,8.10E-06,0,,orelihe,17.88629013,2.35E-05,8.10E-06,0,,mikroob,9.65223256,64.80408914,5.817499343
staatuseküsimus,7654.235466,0,8.10E-06,0,,maastikupõhine,inf,8.10E-06,0,,soolestikumikroob,17.88629013,2.35E-05,8.10E-06,0,,lapsehoiuteenus,9.652202204,24.30153343,1.621322357
staarikeste-hääletamine,7654.235466,0,8.10E-06,0,,remondikomponent,inf,8.10E-06,0,,oravaparte,17.88629013,2.35E-05,8.10E-06,0,,äärmuslus,9.64441474,24.30153343,1.623438965
sotsiaalabikonakond,7654.235466,0,8.10E-06,0,,röövkaevandama,inf,8.10E-06,0,,vähekausaalne,17.88629013,2.35E-05,8.10E-06,0,,poliitikavaatleja,9.640728554,16.20102228,0.784203568
eestlaned-venelane,7654.235466,0,8.10E-06,0,,röövkapital,inf,8.10E-06,0,,kommetents,17.88629013,2.35E-05,8.10E-06,0,,reich,9.625000945,24.30153343,1.628730487
sookvoode,7654.235466,0,8.10E-06,0,,emigreerumisastine,inf,8.10E-06,0,,kommivaagna,17.88629013,2.35E-05,8.10E-06,0,,natsism,9.617257294,24.30153343,1.630847096
humanitaarkonvoiga,7654.235466,0,8.10E-06,0,,emeriitus,inf,8.10E-06,0,,kodutusi,17.88629013,2.35E-05,8.10E-06,0,,retooriline,9.613992321,32.40204457,2.474315711
sookvoodi,7654.235466,0,8.10E-06,0,,emeran,inf,8.10E-06,0,,sotsiaalabikonakond,17.88629013,2.35E-05,8.10E-06,0,,reaalteadus,9.612221,16.20102228,0.78949509
partisaniarmee,7654.235466,0,8.10E-06,0,,rändlinnuala,inf,8.10E-06,0,,vilksas,17.88629013,2.35E-05,8.10E-06,0,,asjaajaja,9.606539709,16.20102228,0.790553394
soolestikuelustik,7654.235466,0,8.10E-06,0,,hõlvav,inf,8.10E-06,0,,sotsiaalabikoosako,17.88629013,2.35E-05,8.10E-06,0,,tähelepanuväärselt,9.600865129,16.20102228,0.791611699
korrama,7654.235466,0,8.10E-06,0,,ruutmeetrikulu,inf,8.10E-06,0,,vanemalt,17.88629013,2.35E-05,8.10E-06,0,,toidupank,9.592668413,64.80408914,5.85983152
müügim,7654.235466,0,8.10E-06,0,,rändeahel,inf,8.10E-06,0,,sotsiaalhart,17.88629013,2.35E-05,8.10E-06,0,,ntv,9.583881542,16.20102228,0.794786612
soolestikumikroob,7654.235466,0,8.10E-06,0,,emmama,inf,8.10E-06,0,,sotsiaalliberaalsus,17.88629013,2.35E-05,8.10E-06,0,,vastuluure,9.566957936,16.20102228,0.797961525
mirabil,7654.235466,0,8.10E-06,0,,räbaldunud,inf,8.10E-06,0,,jahuraha,17.88629013,2.35E-05,8.10E-06,0,,kvantfüüsika,9.561330009,16.20102228,0.79901983
soolg,7654.235466,0,8.10E-06,0,,laenusaajasõbralik,inf,8.10E-06,0,,egiit,17.88629013,2.35E-05,8.10E-06,0,,laenuvõtja,9.544125689,48.60306685,4.197235291
sotsiaalabikoosako,7654.235466,0,8.10E-06,0,,räkiti,inf,8.10E-06,0,,kohaldatud,17.88629013,2.35E-05,8.10E-06,0,,sõjatööstus,9.538884356,16.20102228,0.803253047
mistrale,7654.235466,0,8.10E-06,0,,rõivane,inf,8.10E-06,0,,rikkuselubadus,17.88629013,2.35E-05,8.10E-06,0,,tööjõumaks,9.526666595,48.60306685,4.206760031
rahurohke,7654.235466,0,8.10E-06,0,,ematel-isa,inf,8.10E-06,0,,kolumnisari,17.88629013,2.35E-05,8.10E-06,0,,rahvakirik,9.522119154,16.20102228,0.806427961
paranoiatorm,7654.235466,0,8.10E-06,0,,maavalitsue,inf,8.10E-06,0,,pingerea,17.88629013,2.35E-05,8.10E-06,0,,küsi,9.516543842,16.20102228,0.807486265
sotsiaalliberaalsus,7654.235466,0,8.10E-06,0,,rüvetanud,inf,8.10E-06,0,,väheütlema,17.88629013,2.35E-05,8.10E-06,0,,arenguhüpe,9.506845452,32.40204457,2.513472974
sotsiaal-fiskaalne,7654.235466,0,8.10E-06,0,,rüüd,inf,8.10E-06,0,,foorumeis,17.88629013,2.35E-05,8.10E-06,0,,kuulekas,9.503982727,32.40204457,2.514531279
eesrindlikkus,7654.235466,0,8.10E-06,0,,rüüstatud,inf,8.10E-06,0,,rootsu,17.88629013,2.35E-05,8.10E-06,0,,lihavõte,9.499857008,16.20102228,0.810661178
jobuma,7654.235466,0,8.10E-06,0,,sambel,inf,8.10E-06,0,,pinduma,17.88629013,2.35E-05,8.10E-06,0,,ämari,9.489694924,32.40204457,2.519822801
missioonilaureaadi,7654.235466,0,8.10E-06,0,,elujõulisene,inf,8.10E-06,0,,empiritsism,17.88629013,2.35E-05,8.10E-06,0,,ärevam,9.483228592,16.20102228,0.813836092
